"_id","_labels","email","id","name","phone","url","_start","_end","_type","amount","paymentDate","paymentMethod","progress","status"
"30",":Course","","","Formação JavaScript Expert","","https://ew.academy/javascript-expert?utm_source=neo4j-vector-demo",,,,,,,,
"31",":Course","","","Método Testes Automatizados em JavaScript","","https://ew.academy/metodo-tajs?utm_source=neo4j-vector-demo",,,,,,,,
"32",":Course","","","Mastering Node.js Streams","","https://ew.academy/nodejsstreams?utm_source=neo4j-vector-demo",,,,,,,,
"33",":Course","","","Recriando o Player de Vídeo da Netflix","","https://ew.academy/recriando-a-netflix?utm_source=neo4j-vector-demo",,,,,,,,
"34",":Course","","","Criando seu Próprio App Zoom com WebRTC e WebSockets","","https://ew.academy/zoom?utm_source=neo4j-vector-demo",,,,,,,,
"35",":Course","","","Recriando o App Clubhouse","","https://ew.academy/recriando-club-house?utm_source=neo4j-vector-demo",,,,,,,,
"36",":Course","","","Reimaginando o Multi-Upload de Arquivos do Google Drive","","https://ew.academy/recriando-google-drive?utm_source=neo4j-vector-demo",,,,,,,,
"37",":Course","","","Reimaginando um Rádio Musical Online Usando Spotify como Exemplo","","https://ew.academy/recriando-o-spotify?utm_source=neo4j-vector-demo",,,,,,,,
"38",":Course","","","Machine Learning em Navegadores","","https://ew.academy/machine-learning?utm_source=neo4j-vector-demo",,,,,,,,
"39",":Course","","","Reimaginando o Processamento de Vídeos do Maior Site do Mundo","","https://ew.academy/reimaginando-o-processamento-de-videos-do-maior-site-do-mundo?utm_source=neo4j-vector-demo",,,,,,,,
"40",":Student","Gerry_Bechtelar61@yahoo.com","e1a15cd6-c5ef-44af-860d-4afcf3072184","Jared Skiles","(439) 805-3733 x3074","",,,,,,,,
"41",":Student","Afton33@hotmail.com","95b128e1-4c08-40ba-9b38-fc399dc06f75","Malcolm Stehr","692.773.3241","",,,,,,,,
"42",":Student","Bernie3@hotmail.com","843931c9-507a-4587-9752-3161a859d2b2","Francisco Auer","590.593.8935 x520","",,,,,,,,
